iter	Logloss
0	0.676958066
1	0.6625607676
2	0.6491322395
3	0.6366384733
4	0.6255934031
5	0.6138061896
6	0.6023045131
7	0.5913297308
8	0.581032199
9	0.5714035
10	0.563685005
11	0.5550940326
12	0.547772549
13	0.5402315709
14	0.5332925015
15	0.5267293221
16	0.519308179
17	0.5133192956
18	0.5079265084
19	0.5029464923
20	0.4971243692
21	0.4924018425
22	0.487525775
23	0.4827915416
24	0.4790910617
25	0.4736608053
26	0.4690410237
27	0.4644398249
28	0.4602022825
29	0.4574402862
30	0.4543024846
31	0.4510369529
32	0.4477834903
33	0.4445470503
34	0.4412371289
35	0.4384214161
36	0.4341909995
37	0.4307276442
38	0.4276787023
39	0.4250984945
40	0.4228771354
41	0.4203040801
42	0.4179738353
43	0.4152255768
44	0.4132888253
45	0.4110510016
46	0.4085285397
47	0.4062462478
48	0.4045842125
49	0.4027533989
50	0.4011356974
51	0.3993548174
52	0.3974622186
53	0.3962258578
54	0.3940738778
55	0.3924034245
56	0.3906542378
57	0.3889983835
58	0.3869179684
59	0.3855742757
60	0.3841558098
61	0.3828921905
62	0.3814589989
63	0.3803388421
64	0.3786935106
65	0.3775409703
66	0.3766371509
67	0.3753057744
68	0.3740227423
69	0.3727141816
70	0.3713361343
71	0.3700374299
72	0.3691521498
73	0.3681390717
74	0.3669323683
75	0.3649185394
76	0.3633867781
77	0.3623011399
78	0.3611197183
79	0.3597699339
80	0.3587028048
81	0.3578784654
82	0.3563950301
83	0.3552523757
84	0.3542768248
85	0.3530516094
86	0.3516161693
87	0.3507245022
88	0.3497296505
89	0.3482902232
90	0.3474103336
91	0.3466490353
92	0.3456790067
93	0.3449088326
94	0.3445969571
95	0.3438906996
96	0.3431553939
97	0.3422790637
98	0.3412226663
99	0.3405312083
100	0.3397238862
101	0.3388492529
102	0.3382136679
103	0.3375873851
104	0.3366988623
105	0.3358096394
106	0.3352918032
107	0.3344859688
108	0.3338557666
109	0.3331908936
110	0.332391391
111	0.3316354639
112	0.3308258363
113	0.330190414
114	0.3295781625
115	0.3289602896
116	0.3284446583
117	0.3276105291
118	0.3269604742
119	0.3261567772
120	0.3253036589
121	0.3245220626
122	0.3238423571
123	0.3231291713
124	0.322460722
125	0.321749774
126	0.3212577132
127	0.3207046232
128	0.3202633768
129	0.3196383388
130	0.3191309323
131	0.3185567281
132	0.3179525408
133	0.3172848225
134	0.3168773914
135	0.3161747004
